# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output ,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,
#,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,
# retrieved: 2017-04-28 11:37:55 EDT       (nadww02),,
#,,
# Data for the following 1 site(s) are contained in this file,,
"#    USGS 03335500 WABASH RIVER AT LAFAYETTE, IN",,
# -----------------------------------------------------------------------------------,,
#,,
,Flow Rate (cubic feet/second),Gage Height (ft)
2/20/2017 0:00,6290,5.42
2/21/2017 0:00,5640,5.01
2/22/2017 0:00,5530,4.94
2/23/2017 0:00,5220,4.74
2/24/2017 0:00,5060,4.63
2/25/2017 0:00,4890,4.52
2/26/2017 0:00,5030,4.61
2/27/2017 0:00,4670,4.37
2/28/2017 0:00,4640,4.35
3/1/2017 0:00,4910,4.53
3/2/2017 0:00,5610,4.99
3/3/2017 0:00,10500,7.8
3/4/2017 0:00,9610,7.33
3/5/2017 0:00,8280,6.6
3/6/2017 0:00,6840,5.76
3/7/2017 0:00,6090,5.3
3/8/2017 0:00,6140,5.33
3/9/2017 0:00,5920,5.19
3/10/2017 0:00,7500,6.15
3/11/2017 0:00,8120,6.51
3/12/2017 0:00,6220,5.38
3/13/2017 0:00,5390,4.85
3/14/2017 0:00,4850,4.49
3/15/2017 0:00,4540,4.28
3/16/2017 0:00,4470,4.23
3/17/2017 0:00,3990,3.89
3/18/2017 0:00,4080,3.95
3/19/2017 0:00,3880,3.81
3/20/2017 0:00,3990,3.89
3/21/2017 0:00,4460,4.22
3/22/2017 0:00,9350,7.19
3/23/2017 0:00,14700,9.88
3/24/2017 0:00,14300,9.68
3/25/2017 0:00,11000,8.07
3/26/2017 0:00,7550,6.18
3/27/2017 0:00,9110,7.06
3/28/2017 0:00,13600,9.35
3/29/2017 0:00,13500,9.28
3/30/2017 0:00,11400,8.24
3/31/2017 0:00,12500,8.83
4/1/2017 0:00,25300,14.28
4/2/2017 0:00,22700,13.31
4/3/2017 0:00,19200,11.86
4/4/2017 0:00,15600,10.27
4/5/2017 0:00,12500,8.82
4/6/2017 0:00,14500,9.75
4/7/2017 0:00,31500,16.28
4/8/2017 0:00,33400,16.84
4/9/2017 0:00,26200,14.6
4/10/2017 0:00,19000,11.77
4/11/2017 0:00,15400,10.19
4/12/2017 0:00,12900,9.03
4/13/2017 0:00,12100,8.62
4/14/2017 0:00,11800,8.46
4/15/2017 0:00,10200,7.62
4/16/2017 0:00,9130,7.07
4/17/2017 0:00,8190,6.55
4/18/2017 0:00,7310,6.04
4/19/2017 0:00,6380,5.48
4/20/2017 0:00,6210,5.37
4/21/2017 0:00,6760,5.71
4/22/2017 0:00,6190,5.36
4/23/2017 0:00,5710,5.06
4/24/2017 0:00,5310,4.8
4/25/2017 0:00,4910,4.53
4/26/2017 0:00,4590,4.31
4/27/2017 0:00,4500,4.25
4/28/2017 0:00,4460,4.22
